Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
ST. JOAN COURT 勝宗大廈,115000.0,2.0,2.0,158.96, Mid Level Central, Hong Kong Island
SEA CLIFF MANSIONS 海峰園,115000.0,4.0,3.0,182.18, Peak/South, Hong Kong Island
AZURA 蔚然,115000.0,3.0,2.5,120.87, Mid Level West, Hong Kong Island
13-25 Ching Sau Lane 靜修里 13-25 號,115000.0,4.0,4.0,283.45, Peak/South, Hong Kong Island
Deepdene 蒲苑,115000.0,4.0,2.0,215.44, Peak/South, Hong Kong Island
37 Barker Road 白加道 37號,112554.0,3.0,2.0,171.78, Peak/South, Hong Kong Island
The Repulse Bay 影灣園,112000.0,4.0,2.0,183.02, Peak/South, Hong Kong Island
Dynasty Court 帝景園,111617.0,3.0,2.0,141.21, Mid Level Central, Hong Kong Island
ST. JOAN COURT 勝宗大廈,112000.0,2.0,2.0,158.96, Mid Level Central, Hong Kong Island
Guildford Court,110000.0,3.0,2.0,214.42, Peak/South, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,110000.0,,,245.08, Peak/South, Hong Kong Island
Hillsborough Court 曉峰閣,110000.0,3.0,2.0,169.64, Mid Level Central, Hong Kong Island
Garden Terrace 花園台,110000.0,3.0,4.5,227.98, Mid Level Central, Hong Kong Island
Burnside Villa 濱景園,110000.0,3.0,4.0,199.09, Peak/South, Hong Kong Island
The Repulse Bay 影灣園,110000.0,3.0,2.0,229.56, Peak/South, Hong Kong Island
SCENIC VILLAS 美景臺,110000.0,4.0,3.0,214.7, Peak/South, Hong Kong Island
Carmina Place 嘉名苑,108000.0,4.0,2.0,192.77, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,108000.0,3.0,3.0,192.03, Peak/South, Hong Kong Island
1 Robinson Road 羅便臣道1號,108000.0,4.0,4.5,243.96, Mid Level Central, Hong Kong Island
Tregunter Tower 地利根德閣,108000.0,3.0,2.0,219.34, Mid Level Central, Hong Kong Island
MARINA SOUTH 南區．左岸,108000.0,3.0,3.0,166.02, Aberdeen/Ap Lei Chau, Hong Kong Island
Queen's Garden 裕景花園,105800.0,1.0,1.0,190.45, Mid Level Central, Hong Kong Island
Stanley Knoll STANLEY KNOLL,105000.0,4.0,3.0,237.27, Peak/South, Hong Kong Island
37 Barker Road 白加道 37號,105544.0,3.0,2.0,171.78, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,105000.0,4.0,3.0,239.78, Peak/South, Hong Kong Island
Stanley Green 維璧別墅,105000.0,3.0,2.0,169.92, Peak/South, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,105000.0,4.0,2.0,214.42, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,105000.0,4.0,3.0,237.27, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,105000.0,4.0,3.0,237.27, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,105000.0,4.0,3.0,237.27, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,105000.0,4.0,3.0,237.27, Peak/South, Hong Kong Island
Stanley Knoll STANLEY KNOLL,105000.0,4.0,3.0,237.27, Peak/South, Hong Kong Island
Carolina Gardens 嘉樂園,105000.0,3.0,3.0,199.28, Peak/South, Hong Kong Island
Dynasty Court 帝景園,100330.0,3.0,2.0,140.56, Mid Level Central, Hong Kong Island
27 South Bay Road 南灣道27號,100000.0,1.0,1.0,96.15, Peak/South, Hong Kong Island
Bamboo Grove 竹林苑,100000.0,3.0,1.0,148.09, Wanchai/Causeway Bay, Hong Kong Island
THE REDHILL PENINSULA 紅山半島,100000.0,,,245.91, Peak/South, Hong Kong Island
