Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
LARVOTTO 南灣,61000000.0,3.0,2.0,180.42, Aberdeen/Ap Lei Chau, Hong Kong Island
Villa Monte Rosa 玫瑰新村,59000000.0,3.0,2.0,194.17, Happy Valley/Mid Level East, Hong Kong Island
AZURA 蔚然,58500000.0,3.0,3.0,120.4, Mid Level West, Hong Kong Island
Ming Villa 明苑小築,60000000.0,4.0,2.0,307.6, Tuen Mun, New Territories West
Celestial Heights 半山壹號,58000000.0,3.0,2.0,232.44, Ho Man Tin/King's Park, Kowloon
Mount Parker Residences,58000000.0,3.0,3.5,163.79, Quarry Bay/Kornhill, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,58000000.0,3.0,2.0,190.36, Peak/South, Hong Kong Island
AZURA 蔚然,58000000.0,3.0,3.0,120.03, Mid Level West, Hong Kong Island
Ming Wai Gardens 明慧園,57000000.0,3.0,2.0,147.07, Peak/South, Hong Kong Island
The Riviera 滿湖花園,56900000.0,3.0,3.5,185.43, Sai Kung, New Territories East
Dynasty Court 帝景園,56000000.0,3.0,3.0,141.4, Mid Level Central, Hong Kong Island
Ventris Place 雲地利台,56000000.0,5.0,3.0,173.08, Happy Valley/Mid Level East, Hong Kong Island
Regence Royale 富匯豪庭,55480000.0,3.0,2.0,175.77, Mid Level Central, Hong Kong Island
Cavendish Heights 嘉雲臺,55000000.0,3.0,2.5,133.69, Wanchai/Causeway Bay, Hong Kong Island
Residence Bel-air* 貝沙灣,55000000.0,4.0,4.0,133.69, Bel-Air, Hong Kong Island
Residence Bel-air* 貝沙灣,55000000.0,4.0,2.0,133.69, Bel-Air, Hong Kong Island
The Austin,55000000.0,4.0,2.0,120.12, Kowloon Station, Kowloon
The Arch 凱旋門,55000000.0,3.0,2.0,93.83, Kowloon Station, Kowloon
BAGUIO VILLA 碧瑤灣,55000000.0,4.0,3.0,231.14, Peak/South, Hong Kong Island
SEYMOUR 懿峰,55000000.0,5.0,3.0,160.91, Mid Level West, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,55000000.0,3.0,2.0,140.56, Peak/South, Hong Kong Island
AZURA 蔚然,55000000.0,4.0,4.0,148.46, Mid Level West, Hong Kong Island
AZURA 蔚然,55000000.0,3.0,3.0,120.5, Mid Level West, Hong Kong Island
MARINELLA 深湾九號,55000000.0,3.0,2.0,117.8, Aberdeen/Ap Lei Chau, Hong Kong Island
